Italienisch,Deutsch,Antworttyp
gotta,Gicht,text
mucchi,Haufen,text
gonfiava,schwoll an,text
spuntava,spitzte sich zu / tauchte auf,text
maniglia,"Griff, Türgriff",text
acerbe,unreif,text
nuvolona,grosse Wolke,text
incendiava,entflammte,text
imbirriva,schüttete,text
fratte,Hecken,text
inseguiva,verfolgte,text
porcellare,Schwein (Verb???),text
prese,Steckdosen,text
folata,Windböe,text
pagliaio,Heuhaufen,text
fedele,treu,text
grano,Weizen,text
sfilatini,Brötchen,text
galline,Hühner,text
paglia,Stroh,text
pollaio,Hühnerstall,text
prosciugò,trocknete aus,text
soffio,Hauch,text
trota,Forelle,text
caccia,Jagd,text
lamierino,Blech,text
esercito,Armee,text
ricognitore,Aufklärer,text
grandinare,Hageln,text
grandine,Hagel,text
corvo,Rabe,text
caddero,fielen,text
colla,Kleber,text
cesoie,Schere,text
giuro,ich schwöre,text
aringa,Hering,text
condire,würzen,text
mite,mild,text
rondini,Schwalben,text
sciame,Schwar,text
vocìo,Geschrei,text
cicogne,Störche,text
Sganciarono,sie lösten sich,text
sommerso,"verborgen, verdeckt",text
Sbucavano,sie tauchten auf,text
animo,Seele,text
spalare,schaufeln,text
mutande,Unterhosen,text
scambiarci,uns austauschen,text
barzellette,Witze,text
mucche,Küche,text
rifiutarono,lehnten es ab,text
fiato,Atem,text
ammazzare,töten,text
dimagrivano,sie nahmen ab,text
volpi,Füchse,text
donnole,Wiesel,text
serratura,Schloss,text
scesero,stiegen herab,text
tinello,Esszimmer,text
ruffiani,Schmeichler,text
rompicoglioni,Nervensäge,text
viveri,Lebensmittel,text
atroce,grausam,text
effetti,Auswirkungen,text
risparmiare,sparen,text
scoregge,Furz,text
retino,Netz,text
pentola,Topf,text
sprecare,verschwenden,text
sentenziò,urteilte,text
gru,Kran,text
biberon,Babyflaasche,text
aggiusta,korrigieren,text
impigliato,verheddert,text
scheggiato,abgebrochen,text
forato,perforiert,text
Infatti,tatsächlich,text
versante,Hang,text
sgonfio,schlaff,text
gonfiato,aufgeblasen,text
fioco,schwach,text
sciolse,löste,text
